"Account Number","Account Name","Type","Detail Type"
"1111","111 Terrenos e recursos naturais: Terrenos em bruto","Ativos imobilizados","Terreno"
"1112","111 Terrenos e recursos naturais: Terrenos com arranjos","Ativos imobilizados","Terreno"
"1113","111 Terrenos e recursos naturais: Subsolos","Ativos imobilizados","Outros ativos imobilizados"
"1114","111 Terrenos e recursos naturais: Terrenos com edifícios","Ativos imobilizados","Terreno"
"1121","112 Edifícios e outras construções: Edifícios","Ativos imobilizados","Prédios"
"1311","131 Empresas subsidiárias: Partes de capital","Ativos não circulantes","Investimentos de longo prazo"
"1312","131 Empresas subsidiárias: Obrigações e títulos de participação","Ativos não circulantes","Investimentos de longo prazo"
"1313","131 Empresas subsidiárias: Empréstimos","Ativos não circulantes","Investimentos de longo prazo"
"1321","132 Empresas associadas: Partes de capital","Ativos não circulantes","Investimentos de longo prazo"
"1322","132 Empresas associadas: Obrigações e títulos de participação","Ativos não circulantes","Investimentos de longo prazo"
"1323","132 Empresas associadas: Empréstimos","Ativos não circulantes","Investimentos de longo prazo"
"1331","133 Outras empresas: Partes de capital","Ativos não circulantes","Investimentos de longo prazo"
"1332","133 Outras empresas: Obrigações e títulos de participação","Ativos não circulantes","Investimentos de longo prazo"
"1333","133 Outras empresas: Empréstimos","Ativos não circulantes","Investimentos de longo prazo"
"1391","139 Outros investimentos Financeiros: Diamantes","Ativos não circulantes","Investimentos de longo prazo"
"1392","139 Outros investimentos Financeiros: Ouro","Ativos não circulantes","Investimentos de longo prazo"
"1393","139 Outros investimentos Financeiros: Depósitos bancários","Ativos não circulantes","Investimentos de longo prazo"
"1811","181 Imobilizações corpóreas: Terrenos e recursos naturais","Ativos imobilizados","Depreciação acumulada em ativos imobilizados."
"1812","181 Imobilizações corpóreas: Edifícios e outras construções","Ativos imobilizados","Depreciação acumulada em ativos imobilizados."
"1813","181 Imobilizações corpóreas: Equipamento básico","Ativos imobilizados","Depreciação acumulada em ativos imobilizados."
"1814","181 Imobilizações corpóreas: Equipamento de carga e transporte","Ativos imobilizados","Depreciação acumulada em ativos imobilizados."
"1815","181 Imobilizações corpóreas: Equipamento administrativo","Ativos imobilizados","Depreciação acumulada em ativos imobilizados."
"1816","181 Imobilizações corpóreas: Taras e vasilhame","Ativos imobilizados","Depreciação acumulada em ativos imobilizados."
